Scope
Manufacturer	Model
Reveal Sound	vst.Spr2.Spire_x64_v1_1_11
Note: Will match scope definitions for vst.Spr2.Spire_x64_v1_1_11 or vst.Spr2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
glide_log	0	4194304	Value	ValueOutput
glide	0	4194304	Value	ValueOutput
drift	0	4194304	Value	ValueOutput
x-comp	0	4194304	Value	ValueOutput
velocity	0	4194304	Value	ValueOutput
volume	0	4194304	Value	ValueOutput
eq_band	0	4194304	Value	ValueOutput
eq_power	0	4194304	Value	ValueOutput
eq_low_frq	0	4194304	Value	ValueOutput
eq_low_Q	0	4194304	Value	ValueOutput
eq_low_lev	0	4194304	Value	ValueOutput
eq_mid_frq	0	4194304	Value	ValueOutput
eq_mid_Q	0	4194304	Value	ValueOutput
eq_mid_lev	0	4194304	Value	ValueOutput
eq_hi_frq	0	4194304	Value	ValueOutput
eq_hi_Q	0	4194304	Value	ValueOutput
eq_hi_lev	0	4194304	Value	ValueOutput
mix_osc1	0	4194304	Value	ValueOutput
mix_osc2	0	4194304	Value	ValueOutput
mix_osc3	0	4194304	Value	ValueOutput
mix_osc4	0	4194304	Value	ValueOutput
osc1_type	0	4194304	Value	ValueOutput
osc1_oct	0	4194304	Value	ValueOutput
osc1_note	0	4194304	Value	ValueOutput
osc1_fine	0	4194304	Value	ValueOutput
osc1_ctrlA	0	4194304	Value	ValueOutput
osc1_ctrlB	0	4194304	Value	ValueOutput
osc1_phase	0	4194304	Value	ValueOutput
osc1_wave	0	4194304	Value	ValueOutput
osc1_wtmix	0	4194304	Value	ValueOutput
osc1_udet	0	4194304	Value	ValueOutput
osc1_uwid	0	4194304	Value	ValueOutput
osc1_ucnt	0	4194304	Value	ValueOutput
osc1_uoct	0	4194304	Value	ValueOutput
osc1_uden	0	4194304	Value	ValueOutput
osc1_pan	0	4194304	Value	ValueOutput
osc1_ana	0	4194304	Value	ValueOutput
osc1_inv	0	4194304	Value	ValueOutput
osc1_key	0	4194304	Value	ValueOutput
osc1_mixto	0	4194304	Value	ValueOutput
osc2_type	0	4194304	Value	ValueOutput
osc2_oct	0	4194304	Value	ValueOutput
osc2_note	0	4194304	Value	ValueOutput
osc2_fine	0	4194304	Value	ValueOutput
osc2_ctrlA	0	4194304	Value	ValueOutput
osc2_ctrlB	0	4194304	Value	ValueOutput
osc2_phase	0	4194304	Value	ValueOutput
osc2_wave	0	4194304	Value	ValueOutput
osc2_wtmix	0	4194304	Value	ValueOutput
osc2_udet	0	4194304	Value	ValueOutput
osc2_uwid	0	4194304	Value	ValueOutput
osc2_ucnt	0	4194304	Value	ValueOutput
osc2_uoct	0	4194304	Value	ValueOutput
osc2_uden	0	4194304	Value	ValueOutput
osc2_pan	0	4194304	Value	ValueOutput
osc2_ana	0	4194304	Value	ValueOutput
osc2_inv	0	4194304	Value	ValueOutput
osc2_key	0	4194304	Value	ValueOutput
osc2_mixto	0	4194304	Value	ValueOutput
osc3_type	0	4194304	Value	ValueOutput
osc3_oct	0	4194304	Value	ValueOutput
osc3_note	0	4194304	Value	ValueOutput
osc3_fine	0	4194304	Value	ValueOutput
osc3_ctrlA	0	4194304	Value	ValueOutput
osc3_ctrlB	0	4194304	Value	ValueOutput
osc3_phase	0	4194304	Value	ValueOutput
osc3_wave	0	4194304	Value	ValueOutput
osc3_wtmix	0	4194304	Value	ValueOutput
osc3_udet	0	4194304	Value	ValueOutput
osc3_uwid	0	4194304	Value	ValueOutput
osc3_ucnt	0	4194304	Value	ValueOutput
osc3_uoct	0	4194304	Value	ValueOutput
osc3_uden	0	4194304	Value	ValueOutput
osc3_pan	0	4194304	Value	ValueOutput
osc3_ana	0	4194304	Value	ValueOutput
osc3_inv	0	4194304	Value	ValueOutput
osc3_key	0	4194304	Value	ValueOutput
osc3_mixto	0	4194304	Value	ValueOutput
osc4_type	0	4194304	Value	ValueOutput
osc4_oct	0	4194304	Value	ValueOutput
osc4_note	0	4194304	Value	ValueOutput
osc4_fine	0	4194304	Value	ValueOutput
osc4_ctrlA	0	4194304	Value	ValueOutput
osc4_ctrlB	0	4194304	Value	ValueOutput
osc4_phase	0	4194304	Value	ValueOutput
