Scope
Manufacturer	Model
PolygonSheep	vst.SDLY.StealthDelay_x64
Note: Will match scope definitions for vst.SDLY.StealthDelay_x64 or vst.SDLY

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
RootUnit.PresetsUnit.Del	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.FB 	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Dry	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Out	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Hig	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Low	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.FB 	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Rev	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Dif	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Mod	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Mod	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Mod	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.LFO	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Mod	0	4194304	Value	ValueOutput
Mod Intensity	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Mod	0	4194304	Value	ValueOutput
Mod Resonance	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Duc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Ove	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Syn	0	4194304	Value	ValueOutput
Delay L Synced	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.MS 	0	4194304	Value	ValueOutput
Mod Synced Rate	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Gat	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Del	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Syn	0	4194304	Value	ValueOutput
Delay R Synced	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.LFO	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Mod	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Inp	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Sle	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Out	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Lin	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Lin	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Mod	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Pow	0	4194304	Value	ValueOutput
VectorJoystick X	0	4194304	Value	ValueOutput
VectorJoystick Y	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.B1	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.B2	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.B3	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Pit	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.MID	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.MID	0	4194304	Value	ValueOutput
MIDI Mod Wheel	0	4194304	Value	ValueOutput
MIDI Expression	0	4194304	Value	ValueOutput
MIDI Channel Pressure	0	4194304	Value	ValueOutput
MIDI Sustain Pedal	0	4194304	Value	ValueOutput
All Notes Off	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
