Scope
Manufacturer	Model
Applied Acoustics Systems	vst.B409.Strum GS-2
Note: Will match scope definitions for vst.B409.Strum GS-2 or vst.B409

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Play Mode: Play Mode	0	4194304	Value	ValueOutput
Clock: Rate	0	4194304	Value	ValueOutput
Mod Wheel: Vibrato Depth	0	4194304	Value	ValueOutput
Mod Wheel: Vibrato Speed	0	4194304	Value	ValueOutput
Strumming: Auto	0	4194304	Value	ValueOutput
Strumming: Speed	0	4194304	Value	ValueOutput
Strumming: Velocity	0	4194304	Value	ValueOutput
Voicing: Chord Type	0	4194304	Value	ValueOutput
Voicing: Position	0	4194304	Value	ValueOutput
Loops: Loop Tempo	0	4194304	Value	ValueOutput
Pick/Finger: Type	0	4194304	Value	ValueOutput
Pick/Finger: Position	0	4194304	Value	ValueOutput
Pick/Finger: Edge	0	4194304	Value	ValueOutput
Pick/Finger: Damping	0	4194304	Value	ValueOutput
Pick/Finger: Stiffness	0	4194304	Value	ValueOutput
Pick/Finger: Stiff Damp 	0	4194304	Value	ValueOutput
Pick/Finger: Depth	0	4194304	Value	ValueOutput
Pick/Finger: Speed	0	4194304	Value	ValueOutput
Pick/Finger: Speed Veloc	0	4194304	Value	ValueOutput
String 1: Tone A	0	4194304	Value	ValueOutput
String 1: Inharmonicity 	0	4194304	Value	ValueOutput
String 1: Decay A	0	4194304	Value	ValueOutput
String 1: Tone B	0	4194304	Value	ValueOutput
String 1: Inharmonicity 	0	4194304	Value	ValueOutput
String 1: Decay B	0	4194304	Value	ValueOutput
String 1: Coupling	0	4194304	Value	ValueOutput
String 1: Balance	0	4194304	Value	ValueOutput
String 1: Volume	0	4194304	Value	ValueOutput
String 2: Tone A	0	4194304	Value	ValueOutput
String 2: Inharmonicity 	0	4194304	Value	ValueOutput
String 2: Decay A	0	4194304	Value	ValueOutput
String 2: Tone B	0	4194304	Value	ValueOutput
String 2: Inharmonicity 	0	4194304	Value	ValueOutput
String 2: Decay B	0	4194304	Value	ValueOutput
String 2: Coupling	0	4194304	Value	ValueOutput
String 2: Balance	0	4194304	Value	ValueOutput
String 2: Volume	0	4194304	Value	ValueOutput
String 3: Tone A	0	4194304	Value	ValueOutput
String 3: Inharmonicity 	0	4194304	Value	ValueOutput
String 3: Decay A	0	4194304	Value	ValueOutput
String 3: Tone B	0	4194304	Value	ValueOutput
String 3: Inharmonicity 	0	4194304	Value	ValueOutput
String 3: Decay B	0	4194304	Value	ValueOutput
String 3: Coupling	0	4194304	Value	ValueOutput
String 3: Balance	0	4194304	Value	ValueOutput
String 3: Volume	0	4194304	Value	ValueOutput
String 4: Tone A	0	4194304	Value	ValueOutput
String 4: Inharmonicity 	0	4194304	Value	ValueOutput
String 4: Decay A	0	4194304	Value	ValueOutput
String 4: Tone B	0	4194304	Value	ValueOutput
String 4: Inharmonicity 	0	4194304	Value	ValueOutput
String 4: Decay B	0	4194304	Value	ValueOutput
String 4: Coupling	0	4194304	Value	ValueOutput
String 4: Balance	0	4194304	Value	ValueOutput
String 4: Volume	0	4194304	Value	ValueOutput
String 5: Tone A	0	4194304	Value	ValueOutput
String 5: Inharmonicity 	0	4194304	Value	ValueOutput
String 5: Decay A	0	4194304	Value	ValueOutput
String 5: Tone B	0	4194304	Value	ValueOutput
String 5: Inharmonicity 	0	4194304	Value	ValueOutput
String 5: Decay B	0	4194304	Value	ValueOutput
String 5: Coupling	0	4194304	Value	ValueOutput
String 5: Balance	0	4194304	Value	ValueOutput
String 5: Volume	0	4194304	Value	ValueOutput
String 6: Tone A	0	4194304	Value	ValueOutput
String 6: Inharmonicity 	0	4194304	Value	ValueOutput
String 6: Decay A	0	4194304	Value	ValueOutput
String 6: Tone B	0	4194304	Value	ValueOutput
String 6: Inharmonicity 	0	4194304	Value	ValueOutput
String 6: Decay B	0	4194304	Value	ValueOutput
String 6: Coupling	0	4194304	Value	ValueOutput
String 6: Balance	0	4194304	Value	ValueOutput
String 6: Volume	0	4194304	Value	ValueOutput
Hammer-On: Amp	0	4194304	Value	ValueOutput
Hammer-On: Tone	0	4194304	Value	ValueOutput
Mute: Harmonics Decay	0	4194304	Value	ValueOutput
