Scope
Manufacturer	Model
XILS-lab	vst.XSy2.Syn-X 2 x64
Note: Will match scope definitions for vst.XSy2.Syn-X 2 x64 or vst.XSy2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Vco1Tune	0	4194304	Value	ValueOutput
Vco1Widt	0	4194304	Value	ValueOutput
Vco1 Lev	0	4194304	Value	ValueOutput
Vco2Tune	0	4194304	Value	ValueOutput
Vco2Widt	0	4194304	Value	ValueOutput
Vco2 Lev	0	4194304	Value	ValueOutput
FiltFreq	0	4194304	Value	ValueOutput
FiltRes.	0	4194304	Value	ValueOutput
FiltKeyA	0	4194304	Value	ValueOutput
FiltEnA	0	4194304	Value	ValueOutput
OvFilter	0	4194304	Value	ValueOutput
DelAdsr1	0	4194304	Value	ValueOutput
Attack1 	0	4194304	Value	ValueOutput
Decay1  	0	4194304	Value	ValueOutput
Sustain1	0	4194304	Value	ValueOutput
Release1	0	4194304	Value	ValueOutput
DelAdsr2	0	4194304	Value	ValueOutput
Attack2 	0	4194304	Value	ValueOutput
Decay2  	0	4194304	Value	ValueOutput
Sustain2	0	4194304	Value	ValueOutput
Release2	0	4194304	Value	ValueOutput
DelAdsr3	0	4194304	Value	ValueOutput
Attack3 	0	4194304	Value	ValueOutput
Decay3  	0	4194304	Value	ValueOutput
Sustain3	0	4194304	Value	ValueOutput
Release3	0	4194304	Value	ValueOutput
DelAdsr4	0	4194304	Value	ValueOutput
Attack4 	0	4194304	Value	ValueOutput
Decay4  	0	4194304	Value	ValueOutput
Sustain4	0	4194304	Value	ValueOutput
Release4	0	4194304	Value	ValueOutput
LevelNoi	0	4194304	Value	ValueOutput
LFO1Rate	0	4194304	Value	ValueOutput
none	0	4194304	Value	ValueOutput
LFO1Dely	0	4194304	Value	ValueOutput
LFO1Fade	0	4194304	Value	ValueOutput
LFO1DepA	0	4194304	Value	ValueOutput
LFO1DepB	0	4194304	Value	ValueOutput
LFO2Rate	0	4194304	Value	ValueOutput
none	0	4194304	Value	ValueOutput
LFO2Dely	0	4194304	Value	ValueOutput
LFO2Fade	0	4194304	Value	ValueOutput
LFO2DepA	0	4194304	Value	ValueOutput
LFO2DepB	0	4194304	Value	ValueOutput
CHAOX Rat	0	4194304	Value	ValueOutput
CHAOX Del	0	4194304	Value	ValueOutput
CHAOX Fad	0	4194304	Value	ValueOutput
CHAOX DpA	0	4194304	Value	ValueOutput
CHAOX DpB	0	4194304	Value	ValueOutput
CHAOX Amt	0	4194304	Value	ValueOutput
CHAOX Smt	0	4194304	Value	ValueOutput
RLFO Rate	0	4194304	Value	ValueOutput
RLFO Del 	0	4194304	Value	ValueOutput
RLFO Fade	0	4194304	Value	ValueOutput
RLFO Octo	0	4194304	Value	ValueOutput
RLFO Hexa	0	4194304	Value	ValueOutput
RLFO Tern	0	4194304	Value	ValueOutput
RLFO Hoov	0	4194304	Value	ValueOutput
RLFO Stut	0	4194304	Value	ValueOutput
RLFO Phas	0	4194304	Value	ValueOutput
RLFO Smoo	0	4194304	Value	ValueOutput
Mod1Levl	0	4194304	Value	ValueOutput
Mod2Levl	0	4194304	Value	ValueOutput
Mod3Levl	0	4194304	Value	ValueOutput
Mod4Levl	0	4194304	Value	ValueOutput
Mod5Levl	0	4194304	Value	ValueOutput
Mod6Levl	0	4194304	Value	ValueOutput
Balance 	0	4194304	Value	ValueOutput
LayerLev	0	4194304	Value	ValueOutput
LayerTun	0	4194304	Value	ValueOutput
Drift   	0	4194304	Value	ValueOutput
RatePort	0	4194304	Value	ValueOutput
Glide   	0	4194304	Value	ValueOutput
none	0	4194304	Value	ValueOutput
ArpRate 	0	4194304	Value	ValueOutput
ArpSwing	0	4194304	Value	ValueOutput
ArpGate	0	4194304	Value	ValueOutput
Gen Lev 	0	4194304	Value	ValueOutput
GlobTune	0	4194304	Value	ValueOutput
PitcBend	0	4194304	Value	ValueOutput
ModWheel	0	4194304	Value	ValueOutput
Detune  	0	4194304	Value	ValueOutput
LowUpBal	0	4194304	Value	ValueOutput
MonoSter	0	4194304	Value	ValueOutput
ClkRatSq	0	4194304	Value	ValueOutput
GateSeq1	0	4194304	Value	ValueOutput
