Scope
Manufacturer	Model
Arturia	vst.Sycl.Synclavier V
Note: Will match scope definitions for vst.Sycl.Synclavier V or vst.Sycl

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Timbre Volume	0	4194304	Value	ValueOutput
Timbre Pan	0	4194304	Value	ValueOutput
Timbre Modulation	0	4194304	Value	ValueOutput
Timbre Tuning	0	4194304	Value	ValueOutput
Timbre Transpose	0	4194304	Value	ValueOutput
Timbre Chorus	0	4194304	Value	ValueOutput
Timbre Chorus (Fine)	0	4194304	Value	ValueOutput
Timbre Bit Depth	0	4194304	Value	ValueOutput
Timbre Vol Env Attack	0	4194304	Value	ValueOutput
Timbre Vol Env Initial D	0	4194304	Value	ValueOutput
Timbre Vol Env Final Dec	0	4194304	Value	ValueOutput
Timbre Index Env Attack	0	4194304	Value	ValueOutput
Timbre Index Env Initial	0	4194304	Value	ValueOutput
Timbre Index Env Final D	0	4194304	Value	ValueOutput
Timbre Repeat	0	4194304	Value	ValueOutput
Timbre Arpeggiate	0	4194304	Value	ValueOutput
Timbre BPM Sync	0	4194304	Value	ValueOutput
Timbre Repeat Rate	0	4194304	Value	ValueOutput
Timbre BPM Multiplier	0	4194304	Value	ValueOutput
Arpeggiate Pattern	0	4194304	Value	ValueOutput
Timbre Polyphony Mode	0	4194304	Value	ValueOutput
Timbre Portamento	0	4194304	Value	ValueOutput
Portamento Shape	0	4194304	Value	ValueOutput
Portamento Rate	0	4194304	Value	ValueOutput
Partial Volume 1	0	4194304	Value	ValueOutput
Partial Solo 1	0	4194304	Value	ValueOutput
Partial Mute 1	0	4194304	Value	ValueOutput
Partial Pan 1	0	4194304	Value	ValueOutput
Partial Modulation 1	0	4194304	Value	ValueOutput
Partial Pitch Track 1	0	4194304	Value	ValueOutput
Partial Tuning 1	0	4194304	Value	ValueOutput
Partial Transpose 1	0	4194304	Value	ValueOutput
Partial Octave 1	0	4194304	Value	ValueOutput
Partial Chorus 1	0	4194304	Value	ValueOutput
Partial Chorus (Fine) 1	0	4194304	Value	ValueOutput
Partial FM Ratio 1	0	4194304	Value	ValueOutput
Partial FM Ratio (Fine) 	0	4194304	Value	ValueOutput
Partial Frame Speed 1	0	4194304	Value	ValueOutput
Volume Envelope Delay 1	0	4194304	Value	ValueOutput
Volume Envelope Attack 1	0	4194304	Value	ValueOutput
Volume Envelope Initial 	0	4194304	Value	ValueOutput
Volume Envelope Final De	0	4194304	Value	ValueOutput
Volume Envelope Peak 1	0	4194304	Value	ValueOutput
Volume Envelope Sustain 	0	4194304	Value	ValueOutput
Decay Adjust 1	0	4194304	Value	ValueOutput
Index Envelope Delay 1	0	4194304	Value	ValueOutput
Index Envelope Attack 1	0	4194304	Value	ValueOutput
Index Envelope Initial D	0	4194304	Value	ValueOutput
Index Envelope Final Dec	0	4194304	Value	ValueOutput
Index Envelope Peak 1	0	4194304	Value	ValueOutput
Index Envelope Sustain 1	0	4194304	Value	ValueOutput
Partial Decay Shape 1	0	4194304	Value	ValueOutput
Vibrato Wave 1	0	4194304	Value	ValueOutput
Vibrato Attack 1	0	4194304	Value	ValueOutput
Vibrato Rate 1	0	4194304	Value	ValueOutput
Vibrato BPM Multiplier 1	0	4194304	Value	ValueOutput
Link Depths 1	0	4194304	Value	ValueOutput
Carrier Depth 1	0	4194304	Value	ValueOutput
Modulator Depth 1	0	4194304	Value	ValueOutput
Vibrato Invert 1	0	4194304	Value	ValueOutput
Vibrato Quantize 1	0	4194304	Value	ValueOutput
Vibrato Bias 1	0	4194304	Value	ValueOutput
Vibrato Curve 1	0	4194304	Value	ValueOutput
Vibrato BPM Sync 1	0	4194304	Value	ValueOutput
Tremolo Wave 1	0	4194304	Value	ValueOutput
Tremolo Attack 1	0	4194304	Value	ValueOutput
Tremolo Rate 1	0	4194304	Value	ValueOutput
Tremolo BPM Multiplier 1	0	4194304	Value	ValueOutput
Tremolo Depth 1	0	4194304	Value	ValueOutput
Tremolo Phase 1	0	4194304	Value	ValueOutput
Tremolo Invert 1	0	4194304	Value	ValueOutput
Tremolo Sync 1	0	4194304	Value	ValueOutput
Tremolo BPM Sync 1	0	4194304	Value	ValueOutput
