Scope
Manufacturer	Model
Boz Digital Labs	vst.TBne.TBone
Note: Will match scope definitions for vst.TBne.TBone or vst.TBne

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Master Volume	0	4194304	Value	ValueOutput
Slant	0	4194304	Value	ValueOutput
Plugin Bypass	0	4194304	Value	ValueOutput
Frequency	0	4194304	Value	ValueOutput
Boom Prevention	0	4194304	Value	ValueOutput
Harsh Prevention	0	4194304	Value	ValueOutput
Control Enable	0	4194304	Value	ValueOutput
HP Filter Enable	0	4194304	Value	ValueOutput
HPF Frequency	0	4194304	Value	ValueOutput
HPF Resonance	0	4194304	Value	ValueOutput
LPF Frequency	0	4194304	Value	ValueOutput
LPF Resonance	0	4194304	Value	ValueOutput
Analog	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
LP Filter Enable	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
