Scope
Manufacturer	Model
Tokyo Dawn Labs	vst.Td10.TDR VOS SlickEQ x64
Note: Will match scope definitions for vst.Td10.TDR VOS SlickEQ x64 or vst.Td10

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
LOW Gain	0	4194304	Value	ValueOutput
LOW Freq	0	4194304	Value	ValueOutput
LOW Shape	0	4194304	Value	ValueOutput
MID Gain	0	4194304	Value	ValueOutput
MID Freq	0	4194304	Value	ValueOutput
HIGH Gain	0	4194304	Value	ValueOutput
HIGH Freq	0	4194304	Value	ValueOutput
HIGH Shape	0	4194304	Value	ValueOutput
EQ Model	0	4194304	Value	ValueOutput
EQ Sat	0	4194304	Value	ValueOutput
HP Freq	0	4194304	Value	ValueOutput
OUT Stage	0	4194304	Value	ValueOutput
OUT Drive	0	4194304	Value	ValueOutput
OUT Gain	0	4194304	Value	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
LOW Bypass	0	4194304	Value	ValueOutput
MID Bypass	0	4194304	Value	ValueOutput
HIGH Bypass	0	4194304	Value	ValueOutput
Auto Gain	0	4194304	Value	ValueOutput
Quality	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
