Scope
Manufacturer	Model
Waves	vst.TG5M.WaveShell-VST 9_91_x64.TG12345 Mono
Note: Will match scope definitions for vst.TG5M.WaveShell-VST 9_91_x64.TG12345 Mono or vst.TG5M

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Input	0	4194304	Value	ValueOutput
Dynamic Mode	0	4194304	Value	ValueOutput
Hold	0	4194304	Value	ValueOutput
Recovery	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
SC HP	0	4194304	Value	ValueOutput
Routing	0	4194304	Value	ValueOutput
Treble	0	4194304	Value	ValueOutput
Presence Khz	0	4194304	Value	ValueOutput
Presence dB	0	4194304	Value	ValueOutput
Bass	0	4194304	Value	ValueOutput
EQ Bypass	0	4194304	Value	ValueOutput
Noise	0	4194304	Value	ValueOutput
Channel Selector	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Phase	0	4194304	Value	ValueOutput
Output Level	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
