Scope
Manufacturer	Model
D16 Group Audio Software	vst.TK74.Tekturon x64
Note: Will match scope definitions for vst.TK74.Tekturon x64 or vst.TK74

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Tap 1 Input	0	4194304	Value	ValueOutput
Tap 2 Input	0	4194304	Value	ValueOutput
Tap 3 Input	0	4194304	Value	ValueOutput
Tap 4 Input	0	4194304	Value	ValueOutput
Tap 5 Input	0	4194304	Value	ValueOutput
Tap 6 Input	0	4194304	Value	ValueOutput
Tap 7 Input	0	4194304	Value	ValueOutput
Tap 8 Input	0	4194304	Value	ValueOutput
Tap 9 Input	0	4194304	Value	ValueOutput
Tap 10 Input	0	4194304	Value	ValueOutput
Tap 11 Input	0	4194304	Value	ValueOutput
Tap 12 Input	0	4194304	Value	ValueOutput
Tap 13 Input	0	4194304	Value	ValueOutput
Tap 14 Input	0	4194304	Value	ValueOutput
Tap 15 Input	0	4194304	Value	ValueOutput
Tap 16 Input	0	4194304	Value	ValueOutput
Tap 1 Output	0	4194304	Value	ValueOutput
Tap 2 Output	0	4194304	Value	ValueOutput
Tap 3 Output	0	4194304	Value	ValueOutput
Tap 4 Output	0	4194304	Value	ValueOutput
Tap 5 Output	0	4194304	Value	ValueOutput
Tap 6 Output	0	4194304	Value	ValueOutput
Tap 7 Output	0	4194304	Value	ValueOutput
Tap 8 Output	0	4194304	Value	ValueOutput
Tap 9 Output	0	4194304	Value	ValueOutput
Tap 10 Output	0	4194304	Value	ValueOutput
Tap 11 Output	0	4194304	Value	ValueOutput
Tap 12 Output	0	4194304	Value	ValueOutput
Tap 13 Output	0	4194304	Value	ValueOutput
Tap 14 Output	0	4194304	Value	ValueOutput
Tap 15 Output	0	4194304	Value	ValueOutput
Tap 16 Output	0	4194304	Value	ValueOutput
Tap 1 Volume	0	4194304	Value	ValueOutput
Tap 2 Volume	0	4194304	Value	ValueOutput
Tap 3 Volume	0	4194304	Value	ValueOutput
Tap 4 Volume	0	4194304	Value	ValueOutput
Tap 5 Volume	0	4194304	Value	ValueOutput
Tap 6 Volume	0	4194304	Value	ValueOutput
Tap 7 Volume	0	4194304	Value	ValueOutput
Tap 8 Volume	0	4194304	Value	ValueOutput
Tap 9 Volume	0	4194304	Value	ValueOutput
Tap 10 Volume	0	4194304	Value	ValueOutput
Tap 11 Volume	0	4194304	Value	ValueOutput
Tap 12 Volume	0	4194304	Value	ValueOutput
Tap 13 Volume	0	4194304	Value	ValueOutput
Tap 14 Volume	0	4194304	Value	ValueOutput
Tap 15 Volume	0	4194304	Value	ValueOutput
Tap 16 Volume	0	4194304	Value	ValueOutput
Tap 1 Delay	0	4194304	Value	ValueOutput
Tap 2 Delay	0	4194304	Value	ValueOutput
Tap 3 Delay	0	4194304	Value	ValueOutput
Tap 4 Delay	0	4194304	Value	ValueOutput
Tap 5 Delay	0	4194304	Value	ValueOutput
Tap 6 Delay	0	4194304	Value	ValueOutput
Tap 7 Delay	0	4194304	Value	ValueOutput
Tap 8 Delay	0	4194304	Value	ValueOutput
Tap 9 Delay	0	4194304	Value	ValueOutput
Tap 10 Delay	0	4194304	Value	ValueOutput
Tap 11 Delay	0	4194304	Value	ValueOutput
Tap 12 Delay	0	4194304	Value	ValueOutput
Tap 13 Delay	0	4194304	Value	ValueOutput
Tap 14 Delay	0	4194304	Value	ValueOutput
Tap 15 Delay	0	4194304	Value	ValueOutput
Tap 16 Delay	0	4194304	Value	ValueOutput
Tap 1 Feedback	0	4194304	Value	ValueOutput
Tap 2 Feedback	0	4194304	Value	ValueOutput
Tap 3 Feedback	0	4194304	Value	ValueOutput
Tap 4 Feedback	0	4194304	Value	ValueOutput
Tap 5 Feedback	0	4194304	Value	ValueOutput
Tap 6 Feedback	0	4194304	Value	ValueOutput
Tap 7 Feedback	0	4194304	Value	ValueOutput
Tap 8 Feedback	0	4194304	Value	ValueOutput
Tap 9 Feedback	0	4194304	Value	ValueOutput
Tap 10 Feedback	0	4194304	Value	ValueOutput
Tap 11 Feedback	0	4194304	Value	ValueOutput
Tap 12 Feedback	0	4194304	Value	ValueOutput
Tap 13 Feedback	0	4194304	Value	ValueOutput
