Scope
Manufacturer	Model
Jiggery Pokery	com.jiggerypokery.Titus

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
DDL Type	0	1	Toggle	ValueOutput
Delay Line Gate	0	1	Toggle	ValueOutput
Delay Mode	0	1	Toggle	ValueOutput
Delay Time Mode	0	3	Value	ValueOutput
Stages	0	4194304	Value	ValueOutput
Time	0	4194304	Value	ValueOutput
Sync Duration	0	4194304	Value	ValueOutput
Sync Subdivision	0	4194304	Value	ValueOutput
Level	0	4194304	Value	ValueOutput
Pan	0	4194304	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
THD	0	4194304	Value	ValueOutput
Tap Level In	0	4194304	Value	ValueOutput
Modulation Depth	0	4194304	Value	ValueOutput
Dry Signal Level	0	4194304	Value	ValueOutput
Dry Signal Pan	0	4194304	Value	ValueOutput
Dry/Wet	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
