Scope
Manufacturer	Model
Two Notes Audio Engineering	vst.PI3R.Torpedo Wall Of Sound (x64)
Note: Will match scope definitions for vst.PI3R.Torpedo Wall Of Sound (x64) or vst.PI3R

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
InVolume	0	4194304	Value	ValueOutput
OutVolume	0	4194304	Value	ValueOutput
Arcade Mode	0	4194304	Value	ValueOutput
PwAmp OnOff 0	0	4194304	Value	ValueOutput
PwAmp Model 0	0	4194304	Value	ValueOutput
PwAmp Volume 0	0	4194304	Value	ValueOutput
PwAmp Presence 	0	4194304	Value	ValueOutput
PwAmp Depth 0	0	4194304	Value	ValueOutput
PwAmp Character	0	4194304	Value	ValueOutput
Miking OnOff 0	0	4194304	Value	ValueOutput
Miking Cabinet 	0	4194304	Value	ValueOutput
Miking Micropho	0	4194304	Value	ValueOutput
Miking Distance	0	4194304	Value	ValueOutput
Miking Center 0	0	4194304	Value	ValueOutput
Miking FrontBac	0	4194304	Value	ValueOutput
Miking Variphi 	0	4194304	Value	ValueOutput
Miking Overload	0	4194304	Value	ValueOutput
Miking Dry/wet 	0	4194304	Value	ValueOutput
EQ OnOff 0	0	4194304	Value	ValueOutput
EQ Mode 0	0	4194304	Value	ValueOutput
EQ Gain 0 0	0	4194304	Value	ValueOutput
EQ Gain 1 0	0	4194304	Value	ValueOutput
EQ Gain 2 0	0	4194304	Value	ValueOutput
EQ Gain 3 0	0	4194304	Value	ValueOutput
EQ Gain 4 0	0	4194304	Value	ValueOutput
EQ Gain 5 0	0	4194304	Value	ValueOutput
Exc OnOff 0	0	4194304	Value	ValueOutput
Exc High Gain 0	0	4194304	Value	ValueOutput
Exc Low Gain 0	0	4194304	Value	ValueOutput
Comp OnOff 0	0	4194304	Value	ValueOutput
Comp Threshold 	0	4194304	Value	ValueOutput
Comp Ratio 0	0	4194304	Value	ValueOutput
Comp Attack 0	0	4194304	Value	ValueOutput
Comp Release 0	0	4194304	Value	ValueOutput
Comp MakeUp 0	0	4194304	Value	ValueOutput
Rev OnOff 0	0	4194304	Value	ValueOutput
Rev Room 0	0	4194304	Value	ValueOutput
Rev Delay 0	0	4194304	Value	ValueOutput
Rev Feedback 0	0	4194304	Value	ValueOutput
Rev Lowpass 0	0	4194304	Value	ValueOutput
Rev Drywet 0	0	4194304	Value	ValueOutput
EQ Freq 0 0	0	4194304	Value	ValueOutput
EQ Freq 1 0	0	4194304	Value	ValueOutput
EQ Freq 2 0	0	4194304	Value	ValueOutput
EQ Freq 3 0	0	4194304	Value	ValueOutput
EQ Freq 4 0	0	4194304	Value	ValueOutput
EQ Freq 5 0	0	4194304	Value	ValueOutput
EQ Band On 0 0	0	4194304	Value	ValueOutput
EQ Band On 1 0	0	4194304	Value	ValueOutput
EQ Band On 2 0	0	4194304	Value	ValueOutput
EQ Band On 3 0	0	4194304	Value	ValueOutput
EQ Band On 4 0	0	4194304	Value	ValueOutput
EQ Band On 5 0	0	4194304	Value	ValueOutput
EQ Low Type 0	0	4194304	Value	ValueOutput
EQ Q 1 0	0	4194304	Value	ValueOutput
EQ Q 2 0	0	4194304	Value	ValueOutput
EQ Q 3 0	0	4194304	Value	ValueOutput
EQ Q 4 0	0	4194304	Value	ValueOutput
EQ High Type 0	0	4194304	Value	ValueOutput
Arcade guitar b	0	4194304	Value	ValueOutput
Arcade Power Am	0	4194304	Value	ValueOutput
Arcade Distance	0	4194304	Value	ValueOutput
Arcade Tone 0	0	4194304	Value	ValueOutput
Arcade Contour 	0	4194304	Value	ValueOutput
Arcade Harmonic	0	4194304	Value	ValueOutput
Arcade destroy 	0	4194304	Value	ValueOutput
Arcade Compress	0	4194304	Value	ValueOutput
Arcade Level 0	0	4194304	Value	ValueOutput
Channel OnOff 0	0	4194304	Value	ValueOutput
Channel Mute 0	0	4194304	Value	ValueOutput
Channel Solo 0	0	4194304	Value	ValueOutput
Channel Vol 0	0	4194304	Value	ValueOutput
Channel Pan 0	0	4194304	Value	ValueOutput
PwAmp OnOff 1	0	4194304	Value	ValueOutput
PwAmp Model 1	0	4194304	Value	ValueOutput
PwAmp Volume 1	0	4194304	Value	ValueOutput
