Scope
Manufacturer	Model
Zynaptiq	vst.UDRM.UNMIX DRUMS VST
Note: Will match scope definitions for vst.UDRM.UNMIX DRUMS VST or vst.UDRM

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
DRUM LEVEL	0	4194304	Value	ValueOutput
ATTACK	0	4194304	Value	ValueOutput
THRESHOLD	0	4194304	Value	ValueOutput
DETECTION DENSITY	0	4194304	Value	ValueOutput
MAX CUT	0	4194304	Value	ValueOutput
RELEASE	0	4194304	Value	ValueOutput
UNMIX FEATHER	0	4194304	Value	ValueOutput
BASS SYNTH	0	4194304	Value	ValueOutput
LEVEL COMPENSATION	0	4194304	Value	ValueOutput
SIDE ONLY	0	4194304	Value	ValueOutput
LIMIT	0	4194304	Value	ValueOutput
THRESHOLD CURVE ON/OFF	0	4194304	Value	ValueOutput
DRUM LEVEL CURVE ON/OFF	0	4194304	Value	ValueOutput
RELEASE CURVE ON/OFF	0	4194304	Value	ValueOutput
GAIN	0	4194304	Value	ValueOutput
ALGORITHM	0	4194304	Value	ValueOutput
SOLO	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
