Scope
Manufacturer	Model
Klanghelm	vst.VUMX.VUMTDeluxe x64
Note: Will match scope definitions for vst.VUMX.VUMTDeluxe x64 or vst.VUMX

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
TrimL	0	4194304	Value	ValueOutput
TrimR	0	4194304	Value	ValueOutput
TrimMid	0	4194304	Value	ValueOutput
TrimSide	0	4194304	Value	ValueOutput
Link	0	4194304	Value	ValueOutput
Monitor	0	4194304	Value	ValueOutput
PolarityL	0	4194304	Value	ValueOutput
PolarityR	0	4194304	Value	ValueOutput
MuteL	0	4194304	Value	ValueOutput
MuteR	0	4194304	Value	ValueOutput
FilterOn	0	4194304	Value	ValueOutput
FilterHPFtype	0	4194304	Value	ValueOutput
FilterHPF	0	4194304	Value	ValueOutput
FilterLPFtype	0	4194304	Value	ValueOutput
FilterLPF	0	4194304	Value	ValueOutput
DynEqOn	0	4194304	Value	ValueOutput
DynEqListen	0	4194304	Value	ValueOutput
DynEqType	0	4194304	Value	ValueOutput
DynEqFreq	0	4194304	Value	ValueOutput
DynEqDepth	0	4194304	Value	ValueOutput
MonoMakerOn	0	4194304	Value	ValueOutput
MonoMakerFreq	0	4194304	Value	ValueOutput
MonoMakerAmountP	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
