Scope
Manufacturer	Model
Softube	vst.vina.Vintage Amp Room
Note: Will match scope definitions for vst.vina.Vintage Amp Room or vst.vina

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
AmpSwtch	0	4194304	Value	ValueOutput
W-Presen	0	4194304	Value	ValueOutput
W-Bass	0	4194304	Value	ValueOutput
W-Middle	0	4194304	Value	ValueOutput
W-Treble	0	4194304	Value	ValueOutput
W-MasVol	0	4194304	Value	ValueOutput
W-PreVol	0	4194304	Value	ValueOutput
W-Mic	0	4194304	Value	ValueOutput
B-Bright	0	4194304	Value	ValueOutput
B-Volume	0	4194304	Value	ValueOutput
B-Treble	0	4194304	Value	ValueOutput
B-Middle	0	4194304	Value	ValueOutput
B-Bass	0	4194304	Value	ValueOutput
B-Vibrto	0	4194304	Value	ValueOutput
B-Speed	0	4194304	Value	ValueOutput
B-Intens	0	4194304	Value	ValueOutput
B-Mic	0	4194304	Value	ValueOutput
G-OnOff	0	4194304	Value	ValueOutput
G-Speed	0	4194304	Value	ValueOutput
G-Switch	0	4194304	Value	ValueOutput
G-VibVol	0	4194304	Value	ValueOutput
G-NrmVol	0	4194304	Value	ValueOutput
G-BriVol	0	4194304	Value	ValueOutput
G-Tone	0	4194304	Value	ValueOutput
G-Mic	0	4194304	Value	ValueOutput
AmpCabBP	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
