Scope
Manufacturer	Model
AudioThing	vst.VySr.VinylStrip_x64
Note: Will match scope definitions for vst.VySr.VinylStrip_x64 or vst.VySr

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Compressor Amou	0	4194304	Value	ValueOutput
Compressor Enve	0	4194304	Value	ValueOutput
Compressor Bypa	0	4194304	Value	ValueOutput
Distortion Driv	0	4194304	Value	ValueOutput
Distortion Colo	0	4194304	Value	ValueOutput
Distortion Bypa	0	4194304	Value	ValueOutput
Reverb Amount	0	4194304	Value	ValueOutput
Reverb Size	0	4194304	Value	ValueOutput
Reverb Color	0	4194304	Value	ValueOutput
Reverb Bypass	0	4194304	Value	ValueOutput
EQ Tilt	0	4194304	Value	ValueOutput
EQ Cutoff	0	4194304	Value	ValueOutput
EQ Bypass	0	4194304	Value	ValueOutput
Vinyl Dust	0	4194304	Value	ValueOutput
Vinyl Dust Rate	0	4194304	Value	ValueOutput
Vinyl Noise	0	4194304	Value	ValueOutput
Vinyl WOW	0	4194304	Value	ValueOutput
Vinyl Record Ag	0	4194304	Value	ValueOutput
Vinyl Stereo	0	4194304	Value	ValueOutput
Vinyl Bypass	0	4194304	Value	ValueOutput
Sampler Bits	0	4194304	Value	ValueOutput
Sampler Rate	0	4194304	Value	ValueOutput
Sampler Bypass	0	4194304	Value	ValueOutput
Master Mix	0	4194304	Value	ValueOutput
Master Gain	0	4194304	Value	ValueOutput
Master Bypass	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
