Scope
Manufacturer	Model
u-he	vst.SMY2.Zebrify(x64)
Note: Will match scope definitions for vst.SMY2.Zebrify(x64) or vst.SMY2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
main: Output	0	4194304	Value	ValueOutput
main: Active #EF1	0	4194304	Value	ValueOutput
main: Active #Pitch	0	4194304	Value	ValueOutput
PCore: X1	0	4194304	Value	ValueOutput
PCore: Y1	0	4194304	Value	ValueOutput
PCore: X2	0	4194304	Value	ValueOutput
PCore: Y2	0	4194304	Value	ValueOutput
PCore: X3	0	4194304	Value	ValueOutput
PCore: Y3	0	4194304	Value	ValueOutput
PCore: X4	0	4194304	Value	ValueOutput
PCore: Y4	0	4194304	Value	ValueOutput
PCore: Matrix1 Source	0	4194304	Value	ValueOutput
PCore: Matrix1 Depth	0	4194304	Value	ValueOutput
PCore: Matrix1 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix1 Via	0	4194304	Value	ValueOutput
PCore: Matrix2 Source	0	4194304	Value	ValueOutput
PCore: Matrix2 Depth	0	4194304	Value	ValueOutput
PCore: Matrix2 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix2 Via	0	4194304	Value	ValueOutput
PCore: Matrix3 Source	0	4194304	Value	ValueOutput
PCore: Matrix3 Depth	0	4194304	Value	ValueOutput
PCore: Matrix3 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix3 Via	0	4194304	Value	ValueOutput
PCore: Matrix4 Source	0	4194304	Value	ValueOutput
PCore: Matrix4 Depth	0	4194304	Value	ValueOutput
PCore: Matrix4 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix4 Via	0	4194304	Value	ValueOutput
PCore: Matrix5 Source	0	4194304	Value	ValueOutput
PCore: Matrix5 Depth	0	4194304	Value	ValueOutput
PCore: Matrix5 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix5 Via	0	4194304	Value	ValueOutput
PCore: Matrix6 Source	0	4194304	Value	ValueOutput
PCore: Matrix6 Depth	0	4194304	Value	ValueOutput
PCore: Matrix6 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix6 Via	0	4194304	Value	ValueOutput
PCore: Matrix7 Source	0	4194304	Value	ValueOutput
PCore: Matrix7 Depth	0	4194304	Value	ValueOutput
PCore: Matrix7 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix7 Via	0	4194304	Value	ValueOutput
PCore: Matrix8 Source	0	4194304	Value	ValueOutput
PCore: Matrix8 Depth	0	4194304	Value	ValueOutput
PCore: Matrix8 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix8 Via	0	4194304	Value	ValueOutput
PCore: Matrix9 Source	0	4194304	Value	ValueOutput
PCore: Matrix9 Depth	0	4194304	Value	ValueOutput
PCore: Matrix9 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix9 Via	0	4194304	Value	ValueOutput
PCore: Matrix10 Source	0	4194304	Value	ValueOutput
PCore: Matrix10 Depth	0	4194304	Value	ValueOutput
PCore: Matrix10 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix10 Via	0	4194304	Value	ValueOutput
PCore: Matrix11 Source	0	4194304	Value	ValueOutput
PCore: Matrix11 Depth	0	4194304	Value	ValueOutput
PCore: Matrix11 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix11 Via	0	4194304	Value	ValueOutput
PCore: Matrix12 Source	0	4194304	Value	ValueOutput
PCore: Matrix12 Depth	0	4194304	Value	ValueOutput
PCore: Matrix12 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix12 Via	0	4194304	Value	ValueOutput
EF1: Mode	0	4194304	Value	ValueOutput
EF1: Attenuation	0	4194304	Value	ValueOutput
EF1: Attack	0	4194304	Value	ValueOutput
EF1: Release	0	4194304	Value	ValueOutput
EF1: Threshold	0	4194304	Value	ValueOutput
EF1: Smooth	0	4194304	Value	ValueOutput
EF1: FilterType	0	4194304	Value	ValueOutput
EF1: FilterCutoff	0	4194304	Value	ValueOutput
EF1: Channels	0	4194304	Value	ValueOutput
EF1: Curve	0	4194304	Value	ValueOutput
Midi: Active #LFO1	0	4194304	Value	ValueOutput
