Scope
Manufacturer	Model
apulSoft	vst.TgG3.apTrigga3 x64
Note: Will match scope definitions for vst.TgG3.apTrigga3 x64 or vst.TgG3

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Dry Level	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Trig Max Level	0	4194304	Value	ValueOutput
Hysteresis	0	4194304	Value	ValueOutput
Retrig Level	0	4194304	Value	ValueOutput
Holdtime	0	4194304	Value	ValueOutput
Crossfade	0	4194304	Value	ValueOutput
Level Mod	0	4194304	Value	ValueOutput
Pitch Mod Min	0	4194304	Value	ValueOutput
Pitch Mod Max	0	4194304	Value	ValueOutput
Filter Mod Min	0	4194304	Value	ValueOutput
Filter Mod Max	0	4194304	Value	ValueOutput
Filter Type	0	4194304	Value	ValueOutput
Filter Res	0	4194304	Value	ValueOutput
Filter BW	0	4194304	Value	ValueOutput
Pitch Mod Rand	0	4194304	Value	ValueOutput
Output Mix	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
