Scope
Manufacturer	Model
AudioThing	vst.mIbt.miniBit_x64
Note: Will match scope definitions for vst.mIbt.miniBit_x64 or vst.mIbt

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Osc Wave	0	4194304	Value	ValueOutput
Osc Fine Tune	0	4194304	Value	ValueOutput
Osc Tune	0	4194304	Value	ValueOutput
Osc Vol	0	4194304	Value	ValueOutput
SubOsc Vol	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Sustain	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Cutoff	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
MonoPoly	0	4194304	Value	ValueOutput
Glide	0	4194304	Value	ValueOutput
Velocity	0	4194304	Value	ValueOutput
Delay Time	0	4194304	Value	ValueOutput
Delay Feedback	0	4194304	Value	ValueOutput
Delay Wet	0	4194304	Value	ValueOutput
Delay Sync	0	4194304	Value	ValueOutput
Bits	0	4194304	Value	ValueOutput
Sample Rate	0	4194304	Value	ValueOutput
LFO Rate	0	4194304	Value	ValueOutput
LFO Wave	0	4194304	Value	ValueOutput
LFO Destination	0	4194304	Value	ValueOutput
LFO Amount	0	4194304	Value	ValueOutput
LFO Sync	0	4194304	Value	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Stepper Rate	0	4194304	Value	ValueOutput
Filter Mode	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
