Scope
Manufacturer	Model
Sonic Academy	vst.SSTA.A_N_A x64
Note: Will match scope definitions for vst.SSTA.A_N_A x64 or vst.SSTA

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Pitch Bend Range	0	4194304	Value	ValueOutput
Portamento Time	0	4194304	Value	ValueOutput
Osc 1 Voices	0	4194304	Value	ValueOutput
Osc 1 Octaves	0	4194304	Value	ValueOutput
Osc 1 Semitones	0	4194304	Value	ValueOutput
Osc 1 Fine Tune	0	4194304	Value	ValueOutput
Osc 1 Volume	0	4194304	Value	ValueOutput
Osc 1 Detune	0	4194304	Value	ValueOutput
Osc 1 Width	0	4194304	Value	ValueOutput
Osc 1 Pan	0	4194304	Value	ValueOutput
Osc 1 Filter Out	0	4194304	Value	ValueOutput
Osc 1 Retrig	0	4194304	Value	ValueOutput
Osc 1 Key Track	0	4194304	Value	ValueOutput
Osc 2 Voices	0	4194304	Value	ValueOutput
Osc 2 Octaves	0	4194304	Value	ValueOutput
Osc 2 Semitones	0	4194304	Value	ValueOutput
Osc 2 Fine Tune	0	4194304	Value	ValueOutput
Osc 2 Volume	0	4194304	Value	ValueOutput
Osc 2 Detune	0	4194304	Value	ValueOutput
Osc 2 Width	0	4194304	Value	ValueOutput
Osc 2 Pan	0	4194304	Value	ValueOutput
Osc 2 Filter Out	0	4194304	Value	ValueOutput
Osc 2 Retrig	0	4194304	Value	ValueOutput
Osc 2 Key Track	0	4194304	Value	ValueOutput
Osc 4 Octaves	0	4194304	Value	ValueOutput
Osc 4 Semitones	0	4194304	Value	ValueOutput
Osc 4 Fine Tune	0	4194304	Value	ValueOutput
Osc 4 Volume	0	4194304	Value	ValueOutput
Osc 4 Start Time	0	4194304	Value	ValueOutput
Osc 4 Pan	0	4194304	Value	ValueOutput
Osc 4 Filter Out	0	4194304	Value	ValueOutput
Osc 4 Retrig	0	4194304	Value	ValueOutput
Osc 4 Key Track	0	4194304	Value	ValueOutput
Osc 6 Octaves	0	4194304	Value	ValueOutput
Osc 6 Semitones	0	4194304	Value	ValueOutput
Osc 6 Fine Tune	0	4194304	Value	ValueOutput
Osc 6 Volume	0	4194304	Value	ValueOutput
Osc 6 Shape	0	4194304	Value	ValueOutput
Osc 6 Pan	0	4194304	Value	ValueOutput
Osc 6 Filter Out	0	4194304	Value	ValueOutput
Osc 6 Retrig	0	4194304	Value	ValueOutput
Osc 6 Key Track	0	4194304	Value	ValueOutput
Filter Routing	0	4194304	Value	ValueOutput
Filter 1/2 Cutoff	0	4194304	Value	ValueOutput
Filter 1/2 Res	0	4194304	Value	ValueOutput
Filter 1 Type	0	4194304	Value	ValueOutput
Filter 1 Cutoff	0	4194304	Value	ValueOutput
Filter 1 Res	0	4194304	Value	ValueOutput
Filter 1 Envelope	0	4194304	Value	ValueOutput
Filter 1 Key Track	0	4194304	Value	ValueOutput
Filter 2 Type	0	4194304	Value	ValueOutput
Filter 2 Cutoff	0	4194304	Value	ValueOutput
Filter 2 Res	0	4194304	Value	ValueOutput
Filter 2 Envelope	0	4194304	Value	ValueOutput
Filter 2 Key Track	0	4194304	Value	ValueOutput
Filter Envelope Attack	0	4194304	Value	ValueOutput
Filter Envelope Decay	0	4194304	Value	ValueOutput
Filter Envelope Sustain	0	4194304	Value	ValueOutput
Filter Envelope Release	0	4194304	Value	ValueOutput
Filter Envelope Curve	0	4194304	Value	ValueOutput
Filter Envelope Velocity	0	4194304	Value	ValueOutput
Filter Envelope Amount	0	4194304	Value	ValueOutput
Amp Envelope Attack	0	4194304	Value	ValueOutput
Amp Envelope Decay	0	4194304	Value	ValueOutput
Amp Envelope Sustain	0	4194304	Value	ValueOutput
Amp Envelope Release	0	4194304	Value	ValueOutput
Amp Envelope Curve	0	4194304	Value	ValueOutput
Amp Envelope Velocity	0	4194304	Value	ValueOutput
Amp Envelope Amount	0	4194304	Value	ValueOutput
Env 3 Attack	0	4194304	Value	ValueOutput
Env 3 Decay	0	4194304	Value	ValueOutput
Env 3 Sustain	0	4194304	Value	ValueOutput
Env 3 Release	0	4194304	Value	ValueOutput
