Scope
Manufacturer	Model
Arturia	vst.ArDS.Spark
Note: Will match scope definitions for vst.ArDS.Spark or vst.ArDS

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Main Volume	0	4194304	Value	ValueOutput
Unused 1	0	4194304	Value	ValueOutput
Shuffle Amount	0	4194304	Value	ValueOutput
LPF Cut	0	4194304	Value	ValueOutput
LPF Res	0	4194304	Value	ValueOutput
Master Filter	0	4194304	Value	ValueOutput
LPF Bypass	0	4194304	Value	ValueOutput
 1  Mute	0	4194304	Value	ValueOutput
 2  Mute	0	4194304	Value	ValueOutput
 3  Mute	0	4194304	Value	ValueOutput
 4  Mute	0	4194304	Value	ValueOutput
 5  Mute	0	4194304	Value	ValueOutput
 6  Mute	0	4194304	Value	ValueOutput
 7  Mute	0	4194304	Value	ValueOutput
 8  Mute	0	4194304	Value	ValueOutput
 9  Mute	0	4194304	Value	ValueOutput
10  Mute	0	4194304	Value	ValueOutput
11  Mute	0	4194304	Value	ValueOutput
12  Mute	0	4194304	Value	ValueOutput
13  Mute	0	4194304	Value	ValueOutput
14  Mute	0	4194304	Value	ValueOutput
15  Mute	0	4194304	Value	ValueOutput
16  Mute	0	4194304	Value	ValueOutput
 1  Solo	0	4194304	Value	ValueOutput
 2  Solo	0	4194304	Value	ValueOutput
 3  Solo	0	4194304	Value	ValueOutput
 4  Solo	0	4194304	Value	ValueOutput
 5  Solo	0	4194304	Value	ValueOutput
 6  Solo	0	4194304	Value	ValueOutput
 7  Solo	0	4194304	Value	ValueOutput
 8  Solo	0	4194304	Value	ValueOutput
 9  Solo	0	4194304	Value	ValueOutput
10  Solo	0	4194304	Value	ValueOutput
11  Solo	0	4194304	Value	ValueOutput
12  Solo	0	4194304	Value	ValueOutput
13  Solo	0	4194304	Value	ValueOutput
14  Solo	0	4194304	Value	ValueOutput
15  Solo	0	4194304	Value	ValueOutput
16  Solo	0	4194304	Value	ValueOutput
 1  Vol	0	4194304	Value	ValueOutput
 2  Vol	0	4194304	Value	ValueOutput
 3  Vol	0	4194304	Value	ValueOutput
 4  Vol	0	4194304	Value	ValueOutput
 5  Vol	0	4194304	Value	ValueOutput
 6  Vol	0	4194304	Value	ValueOutput
 7  Vol	0	4194304	Value	ValueOutput
 8  Vol	0	4194304	Value	ValueOutput
 9  Vol	0	4194304	Value	ValueOutput
10  Vol	0	4194304	Value	ValueOutput
11  Vol	0	4194304	Value	ValueOutput
12  Vol	0	4194304	Value	ValueOutput
13  Vol	0	4194304	Value	ValueOutput
14  Vol	0	4194304	Value	ValueOutput
15  Vol	0	4194304	Value	ValueOutput
16  Vol	0	4194304	Value	ValueOutput
Return 1 Vol	0	4194304	Value	ValueOutput
Return 2 Vol	0	4194304	Value	ValueOutput
 1  Pan	0	4194304	Value	ValueOutput
 2  Pan	0	4194304	Value	ValueOutput
 3  Pan	0	4194304	Value	ValueOutput
 4  Pan	0	4194304	Value	ValueOutput
 5  Pan	0	4194304	Value	ValueOutput
 6  Pan	0	4194304	Value	ValueOutput
 7  Pan	0	4194304	Value	ValueOutput
 8  Pan	0	4194304	Value	ValueOutput
 9  Pan	0	4194304	Value	ValueOutput
10  Pan	0	4194304	Value	ValueOutput
11  Pan	0	4194304	Value	ValueOutput
12  Pan	0	4194304	Value	ValueOutput
13  Pan	0	4194304	Value	ValueOutput
14  Pan	0	4194304	Value	ValueOutput
15  Pan	0	4194304	Value	ValueOutput
16  Pan	0	4194304	Value	ValueOutput
 1  S1	0	4194304	Value	ValueOutput
 2  S1	0	4194304	Value	ValueOutput
 3  S1	0	4194304	Value	ValueOutput
 4  S1	0	4194304	Value	ValueOutput
 5  S1	0	4194304	Value	ValueOutput
 6  S1	0	4194304	Value	ValueOutput
 7  S1	0	4194304	Value	ValueOutput
 8  S1	0	4194304	Value	ValueOutput
 9  S1	0	4194304	Value	ValueOutput
10  S1	0	4194304	Value	ValueOutput
11  S1	0	4194304	Value	ValueOutput
12  S1	0	4194304	Value	ValueOutput
13  S1	0	4194304	Value	ValueOutput
14  S1	0	4194304	Value	ValueOutput
15  S1	0	4194304	Value	ValueOutput
16  S1	0	4194304	Value	ValueOutput
